frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
0,0.0,,,,0.0,0.0,0.0,0.0
1,0.033,,,,0.0,0.0,0.0,0.0
2,0.067,,,,0.0,0.0,0.0,0.0
3,0.1,,,,0.0,0.0,0.0,0.0
4,0.133,,,,0.0,0.0,0.0,0.0
5,0.167,,,,0.0,0.0,0.0,0.0
6,0.2,,,,0.0,0.0,0.0,0.0
7,0.233,,,,0.0,0.0,0.0,0.0
8,0.267,,,,0.0,0.0,0.0,0.0
9,0.3,,,,0.0,0.0,0.0,0.0
10,0.333,,,,0.0,0.0,0.0,0.0
11,0.367,,,,0.0,0.0,0.0,0.0
12,0.4,,,,0.0,0.0,0.0,0.0
13,0.433,,,,0.0,0.0,0.0,0.0
14,0.467,,,,0.0,0.0,0.0,0.0
15,0.5,,,,0.0,0.0,0.0,0.0
16,0.533,7.76,7.76,bbox,0.0,0.0,0.0,0.0
17,0.567,7.772,7.766,bbox,0.0,0.0,0.0,0.0
18,0.6,7.445,7.76,pose,0.0,0.0,0.0,0.0
19,0.633,,,,0.0,0.0,0.0,0.0
20,0.667,7.608,7.684,bbox,0.0,0.0,0.0,0.0
21,0.7,,,,0.0,0.0,0.0,0.0
22,0.733,,,,0.0,0.0,0.0,0.0
23,0.767,,,,0.0,0.0,0.0,0.0
24,0.8,,,,0.0,0.0,0.0,0.0
25,0.833,,,,0.0,0.0,0.0,0.0
26,0.867,,,,0.0,0.0,0.0,0.0
27,0.9,,,,0.0,0.0,0.0,0.0
28,0.933,,,,0.0,0.0,0.0,0.0
29,0.967,,,,0.0,0.0,0.0,0.0
30,1.0,,,,0.0,0.0,0.0,0.0
31,1.033,,,,0.0,0.0,0.0,0.0
32,1.067,,,,0.0,0.0,0.0,0.0
33,1.1,,,,0.0,0.0,0.0,0.0
34,1.133,,,,0.0,0.0,0.0,0.0
35,1.167,,,,0.0,0.0,0.0,0.0
36,1.2,,,,0.0,0.0,0.0,0.0
37,1.233,,,,0.0,0.0,0.0,0.0
38,1.267,6.422,7.608,bbox,0.0,0.0,0.0,0.0
39,1.3,6.291,7.445,bbox,0.046,0.0,0.059,0.0
40,1.333,,,,0.046,0.0,0.059,0.0
41,1.367,6.071,6.422,bbox,0.046,0.0,0.059,0.0
42,1.4,5.849,6.291,pose,0.046,0.0,0.094,0.0
43,1.433,5.849,6.071,bbox,0.083,0.0,0.16,0.0
44,1.467,5.679,5.849,bbox,0.116,0.0,0.16,0.0
45,1.5,5.479,5.849,pose,0.149,0.0,0.16,0.0
46,1.533,5.494,5.679,bbox,0.149,0.0,0.215,0.0
47,1.567,5.508,5.508,bbox,0.211,0.0,0.304,0.0
48,1.6,5.294,5.494,pose,0.211,0.0,0.304,0.0
49,1.633,5.442,5.479,bbox,0.211,0.0,0.304,0.0
50,1.667,,,,0.211,0.0,0.304,0.0
51,1.7,5.262,5.442,bbox,0.211,0.0,0.304,0.0
52,1.733,5.088,5.294,bbox,0.302,0.0,0.304,0.0
53,1.767,4.937,5.262,bbox,0.379,0.0,0.368,0.0
54,1.8,4.882,5.088,bbox,0.411,0.0,0.405,0.0
55,1.833,4.866,4.937,bbox,0.45,0.0,0.442,0.0
56,1.867,4.858,4.882,bbox,0.45,0.0,0.442,0.0
57,1.9,4.873,4.873,bbox,0.45,0.0,0.442,0.0
58,1.933,4.808,4.866,bbox,0.45,0.0,0.492,0.0
59,1.967,4.876,4.866,bbox,0.45,0.0,0.492,0.0
60,2.0,4.817,4.858,bbox,0.45,0.0,0.492,0.0
61,2.033,,,,0.45,0.0,0.492,0.0
62,2.067,,,,0.45,0.0,0.492,0.0
63,2.1,,,,0.45,0.0,0.492,0.0
64,2.133,4.659,4.817,bbox,0.45,0.0,0.492,0.0
65,2.167,4.631,4.808,bbox,0.45,0.0,0.492,0.0
66,2.2,4.629,4.659,pose,0.45,0.0,0.577,0.0
67,2.233,4.52,4.631,bbox,0.45,0.0,0.63,0.0
68,2.267,4.47,4.629,bbox,0.45,0.0,0.63,0.0
69,2.3,,,,0.45,0.0,0.63,0.0
70,2.333,,,,0.45,0.0,0.63,0.0
71,2.367,,,,0.45,0.0,0.63,0.0
72,2.4,,,,0.45,0.0,0.63,0.0
73,2.433,,,,0.45,0.0,0.63,0.0
74,2.467,,,,0.45,0.0,0.63,0.0
75,2.5,,,,0.45,0.0,0.63,0.0
76,2.533,,,,0.45,0.0,0.63,0.0
77,2.567,,,,0.45,0.0,0.63,0.0
78,2.6,,,,0.45,0.0,0.63,0.0
79,2.633,,,,0.45,0.0,0.63,0.0
80,2.667,,,,0.45,0.0,0.63,0.0
81,2.7,4.248,4.52,bbox,0.45,0.0,0.73,0.0
82,2.733,,,,0.45,0.0,0.73,0.0
83,2.767,4.212,4.47,bbox,0.45,0.0,0.778,0.0
84,2.8,4.162,4.248,bbox,0.502,0.0,0.778,0.0
85,2.833,,,,0.502,0.0,0.778,0.0
86,2.867,4.194,4.212,bbox,0.532,0.0,0.819,0.0
87,2.9,,,,0.532,0.0,0.819,0.0
88,2.933,,,,0.532,0.0,0.819,0.0
89,2.967,,,,0.532,0.0,0.819,0.0
90,3.0,,,,0.532,0.0,0.819,0.0
91,3.033,,,,0.532,0.0,0.819,0.0
92,3.067,4.187,4.194,bbox,0.532,0.0,0.819,0.0
93,3.1,4.211,4.194,bbox,0.532,0.0,0.819,0.0
94,3.133,4.316,4.194,bbox,0.532,0.032,0.883,0.0
95,3.167,4.401,4.211,bbox,0.532,0.032,0.883,0.0
96,3.2,4.436,4.316,bbox,0.532,0.063,0.883,0.0
97,3.233,,,,0.532,0.063,0.883,0.0
98,3.267,,,,0.532,0.063,0.883,0.0
99,3.3,4.517,4.401,bbox,0.532,0.063,0.883,0.149
100,3.333,,,,0.532,0.063,0.883,0.149
101,3.367,,,,0.532,0.063,0.883,0.149
102,3.4,4.436,4.436,bbox,0.532,0.093,0.883,0.149
103,3.433,4.416,4.436,bbox,0.532,0.093,0.883,0.184
