frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
0,0.0,4.322,4.322,pose,0.0,0.0,0.0,0.0
1,0.034,4.742,4.532,bbox,0.064,0.0,0.144,0.0
2,0.069,4.766,4.742,bbox,0.124,0.0,0.272,0.0
3,0.103,4.162,4.532,pose,0.124,0.052,0.272,0.097
4,0.137,4.742,4.742,bbox,0.176,0.052,0.368,0.097
5,0.172,4.762,4.742,bbox,0.176,0.052,0.368,0.097
6,0.206,4.153,4.742,pose,0.176,0.052,0.368,0.097
7,0.24,4.726,4.726,bbox,0.176,0.052,0.368,0.097
8,0.275,4.732,4.732,bbox,0.176,0.052,0.422,0.097
9,0.309,4.177,4.726,pose,0.176,0.052,0.422,0.097
10,0.343,4.677,4.677,bbox,0.176,0.052,0.456,0.097
11,0.377,4.619,4.677,bbox,0.22,0.052,0.456,0.097
12,0.412,4.459,4.619,pose,0.22,0.052,0.559,0.097
13,0.446,4.564,4.564,bbox,0.22,0.052,0.594,0.097
14,0.48,4.615,4.615,bbox,0.22,0.052,0.594,0.097
15,0.515,4.47,4.564,pose,0.22,0.052,0.646,0.097
16,0.549,4.693,4.564,bbox,0.22,0.088,0.646,0.097
17,0.583,4.754,4.615,bbox,0.22,0.088,0.701,0.097
18,0.618,4.066,4.615,pose,0.22,0.088,0.701,0.097
19,0.652,4.675,4.675,bbox,0.22,0.153,0.762,0.097
20,0.686,4.611,4.675,bbox,0.22,0.153,0.829,0.097
21,0.721,4.064,4.611,pose,0.22,0.153,0.829,0.097
22,0.755,4.616,4.611,bbox,0.22,0.153,0.862,0.097
23,0.789,4.586,4.611,bbox,0.22,0.153,0.912,0.097
24,0.824,4.071,4.586,pose,0.22,0.184,0.912,0.097
25,0.858,4.55,4.55,bbox,0.22,0.184,0.967,0.097
26,0.892,4.534,4.55,bbox,0.22,0.184,0.967,0.097
27,0.927,4.031,4.534,pose,0.22,0.184,0.967,0.097
28,0.961,4.558,4.534,bbox,0.22,0.218,0.967,0.097
29,0.995,4.591,4.55,bbox,0.22,0.218,0.967,0.097
30,1.03,3.999,4.534,pose,0.22,0.218,0.967,0.097
31,1.064,4.55,4.55,bbox,0.22,0.218,0.967,0.137
32,1.098,4.529,4.55,bbox,0.22,0.218,0.967,0.137
33,1.132,3.983,4.529,pose,0.22,0.218,0.967,0.137
34,1.167,4.583,4.529,bbox,0.22,0.218,0.967,0.171
35,1.201,4.549,4.549,bbox,0.22,0.218,0.967,0.171
36,1.235,3.955,4.529,pose,0.22,0.218,0.967,0.171
37,1.27,4.52,4.52,bbox,0.22,0.218,0.967,0.171
38,1.304,4.531,4.531,bbox,0.22,0.218,0.967,0.171
